"Step","Name: compare_q_matrix-mlp - Log ZCSMC","Name: compare_q_matrix-mlp - Log ZCSMC__MIN","Name: compare_q_matrix-mlp - Log ZCSMC__MAX","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX","Name: compare_q_matrix-jc69 - Log ZCSMC","Name: compare_q_matrix-jc69 - Log ZCSMC__MIN","Name: compare_q_matrix-jc69 - Log ZCSMC__MAX"
"0","-7026.675390625","-7237.0029296875","-6895.1337890625","-7155.3638671875","-7360.9482421875","-7002.94140625","-7010.31640625","-7107.990234375","-6932.4306640625"
"1","-6874.65859375","-7073.41015625","-6766.8017578125","-7016.1380859375","-7205.3447265625","-6890.2021484375","-6876.3265625","-6963.3740234375","-6821.66796875"
"2","-6764.684765625","-6949.6416015625","-6666.11328125","-6908.040234375","-7102.96875","-6792.0927734375","-6800.37275390625","-6881.55517578125","-6757.994140625"
"3","-6673.637109375","-6849.5","-6582.3154296875","-6825.6705078125","-7021.255859375","-6715.234375","-6768.00556640625","-6872.7626953125","-6704.8671875"
"4","-6596.1529296875","-6765.162109375","-6511.0517578125","-6739.671484375","-6852.6689453125","-6653.10546875","-6717.898046875","-6808.51171875","-6655.9365234375"
"5","-6528.0478515625","-6691.51953125","-6449.078125","-6686.4724609375","-6798.2568359375","-6602.2626953125","-6676.6525390625","-6753.9931640625","-6617.7041015625"
"6","-6466.955078125","-6625.92578125","-6391.013671875","-6641.9435546875","-6748.826171875","-6560.0107421875","-6642.8564453125","-6709.4482421875","-6587.7578125"
"7","-6411.1712890625","-6565.76953125","-6332.5400390625","-6603.6501953125","-6703.99609375","-6524.3212890625","-6615.1720703125","-6674.2236328125","-6564.0478515625"
"8","-6359.6017578125","-6509.44921875","-6279.8701171875","-6570.394921875","-6663.1484375","-6493.8564453125","-6592.2041015625","-6646.3349609375","-6544.5693359375"
"9","-6311.70703125","-6455.6396484375","-6232.7861328125","-6540.5060546875","-6625.9423828125","-6467.3603515625","-6572.9248046875","-6623.0791015625","-6529.1416015625"
"10","-6267.308984375","-6403.2109375","-6192.1787109375","-6513.7921875","-6592.1337890625","-6444.1201171875","-6556.478125","-6603.49609375","-6516.173828125"
"11","-6226.8052734375","-6352.27734375","-6158.80078125","-6489.5857421875","-6561.1181640625","-6423.6650390625","-6542.3791015625","-6586.8095703125","-6505.3876953125"
"12","-6190.859765625","-6303.4384765625","-6133.4345703125","-6467.819140625","-6533.0322265625","-6405.2568359375","-6530.2380859375","-6572.4072265625","-6496.4150390625"
"13","-6159.4775390625","-6257.728515625","-6114.146484375","-6448.1935546875","-6507.005859375","-6388.9580078125","-6519.676953125","-6559.8154296875","-6488.8994140625"
"14","-6132.5236328125","-6216.9736328125","-6093.8515625","-6430.3435546875","-6483.21875","-6374.091796875","-6510.34140625","-6548.66015625","-6482.53125"
"15","-6109.3630859375","-6182.544921875","-6069.505859375","-6413.957421875","-6461.25390625","-6360.818359375","-6501.9833984375","-6538.6474609375","-6477.125"
"16","-6089.5689453125","-6155.6044921875","-6048.7119140625","-6398.7546875","-6440.9375","-6348.6298828125","-6494.4283203125","-6529.54296875","-6472.6279296875"
"17","-6072.6783203125","-6135.822265625","-6031.4248046875","-6384.5083984375","-6422.2373046875","-6337.28125","-6487.44453125","-6521.1640625","-6467.443359375"
"18","-6058.1552734375","-6120.9052734375","-6017.6669921875","-6371.1765625","-6405.3212890625","-6326.703125","-6480.940234375","-6513.375","-6461.9013671875"
"19","-6045.453125","-6108.4921875","-6006.9833984375","-6358.50078125","-6392.876953125","-6316.8271484375","-6474.8556640625","-6506.0615234375","-6457.03515625"
"20","-6034.0646484375","-6096.33984375","-5998.6572265625","-6346.640234375","-6381.171875","-6307.6064453125","-6469.1552734375","-6499.1455078125","-6452.7958984375"
"21","-6023.818359375","-6083.6787109375","-5991.6689453125","-6335.316796875","-6369.693359375","-6298.966796875","-6463.834375","-6492.5712890625","-6449.20703125"
"22","-6014.673046875","-6070.451171875","-5985.638671875","-6324.4552734375","-6358.4423828125","-6290.7236328125","-6458.8556640625","-6486.306640625","-6446.0927734375"
"23","-6006.267578125","-6056.2216796875","-5979.83984375","-6314.228515625","-6347.841796875","-6282.751953125","-6454.2828125","-6480.330078125","-6443.4697265625"
"24","-5998.3771484375","-6041.640625","-5974.572265625","-6304.4546875","-6337.498046875","-6275.0869140625","-6450.04375","-6474.640625","-6438.9140625"
"25","-5991.0169921875","-6028.044921875","-5969.69140625","-6295.0916015625","-6327.740234375","-6267.7275390625","-6446.05546875","-6469.244140625","-6434.3857421875"
"26","-5984.7197265625","-6016.2158203125","-5966.107421875","-6286.19296875","-6318.396484375","-6260.447265625","-6442.329296875","-6464.1591796875","-6430.2626953125"
"27","-5979.5998046875","-6006.7734375","-5963.705078125","-6277.5509765625","-6309.2880859375","-6253.4296875","-6438.89375","-6459.3974609375","-6426.55078125"
"28","-5975.992578125","-5999.8193359375","-5962.421875","-6269.1640625","-6300.5244140625","-6246.625","-6435.7595703125","-6454.9736328125","-6423.2197265625"
"29","-5973.4478515625","-5995.2275390625","-5961.4609375","-6261.0755859375","-6291.9599609375","-6240.056640625","-6432.814453125","-6450.8857421875","-6420.2578125"
"30","-5971.6005859375","-5992.0576171875","-5960.5986328125","-6253.28359375","-6283.732421875","-6233.779296875","-6430.2994140625","-6448.4462890625","-6417.6494140625"
"31","-5969.9845703125","-5989.3828125","-5959.3994140625","-6245.7857421875","-6275.61328125","-6227.515625","-6427.9759765625","-6446.4521484375","-6415.375"
"32","-5968.6193359375","-5988.291015625","-5957.74609375","-6238.4490234375","-6267.6142578125","-6220.0390625","-6425.758984375","-6444.39453125","-6413.41015625"
"33","-5967.005078125","-5986.24609375","-5956.2119140625","-6231.36171875","-6259.7509765625","-6212.8681640625","-6423.68515625","-6442.2734375","-6411.73046875"
"34","-5965.1658203125","-5983.1796875","-5954.6572265625","-6224.455859375","-6252.1669921875","-6205.9873046875","-6421.743359375","-6440.1064453125","-6410.314453125"
"35","-5962.9654296875","-5979.1708984375","-5953.47265625","-6217.6880859375","-6244.751953125","-6199.2685546875","-6419.943359375","-6438.041015625","-6409.1298828125"
"36","-5960.4751953125","-5974.2685546875","-5952.6083984375","-6211.1037109375","-6237.5673828125","-6192.8388671875","-6418.2615234375","-6436.0068359375","-6407.447265625"
"37","-5957.98203125","-5969.0830078125","-5951.9482421875","-6204.6828125","-6230.5625","-6186.6064453125","-6416.68125","-6434.0224609375","-6405.330078125"
"38","-5955.8970703125","-5963.984375","-5950.1474609375","-6198.3861328125","-6223.5263671875","-6180.693359375","-6415.1837890625","-6432.09375","-6403.4169921875"
"39","-5954.124609375","-5959.443359375","-5949.033203125","-6192.3265625","-6216.80078125","-6174.9970703125","-6413.7611328125","-6430.22265625","-6401.7197265625"
"40","-5952.79453125","-5956.2744140625","-5948.6591796875","-6186.509765625","-6210.2216796875","-6169.5869140625","-6412.4125","-6428.396484375","-6400.2373046875"
"41","-5951.666796875","-5954.654296875","-5948.623046875","-6180.7662109375","-6203.703125","-6164.3544921875","-6411.1236328125","-6426.58984375","-6398.966796875"
"42","-5950.5521484375","-5953.0107421875","-5948.3154296875","-6175.2169921875","-6197.34765625","-6159.4736328125","-6409.8923828125","-6424.7841796875","-6397.8935546875"
"43","-5949.740234375","-5952.01171875","-5947.97265625","-6169.801953125","-6191.1728515625","-6154.521484375","-6408.71171875","-6422.974609375","-6396.99609375"
"44","-5948.829296875","-5951.005859375","-5947.1171875","-6164.554296875","-6185.033203125","-6149.927734375","-6407.5828125","-6421.1748046875","-6396.25390625"
"45","-5947.9701171875","-5950.0732421875","-5946.3486328125","-6159.3634765625","-6179.0283203125","-6145.4052734375","-6406.5271484375","-6419.4208984375","-6395.66796875"
"46","-5947.0396484375","-5949.068359375","-5945.4375","-6154.437890625","-6173.26171875","-6141.24609375","-6405.5517578125","-6417.7587890625","-6395.1826171875"
"47","-5946.092578125","-5947.998046875","-5944.533203125","-6149.5931640625","-6167.4111328125","-6137.126953125","-6404.66640625","-6416.2275390625","-6394.7734375"
"48","-5945.107421875","-5947.0546875","-5942.8388671875","-6144.8947265625","-6161.8193359375","-6133.2470703125","-6403.873046875","-6414.85546875","-6394.419921875"
"49","-5944.09453125","-5946.0205078125","-5941.1689453125","-6140.4095703125","-6156.3740234375","-6129.53515625","-6403.1658203125","-6413.64453125","-6394.095703125"
"50","-5943.2205078125","-5944.896484375","-5939.76953125","-6135.9728515625","-6151.14453125","-6125.8974609375","-6402.5318359375","-6412.59375","-6393.7841796875"
"51","-5942.3486328125","-5943.994140625","-5938.36328125","-6131.783203125","-6146.1728515625","-6122.232421875","-6401.95859375","-6411.68359375","-6393.4736328125"
"52","-5941.601953125","-5943.3544921875","-5937.3876953125","-6127.7822265625","-6141.72265625","-6118.78515625","-6401.434765625","-6410.8974609375","-6393.1572265625"
"53","-5940.905078125","-5942.5068359375","-5936.5458984375","-6123.819921875","-6137.294921875","-6115.3193359375","-6400.95234375","-6410.212890625","-6392.8369140625"
"54","-5940.2978515625","-5941.9794921875","-5935.828125","-6120.05859375","-6133.12890625","-6112.05078125","-6400.5033203125","-6409.6123046875","-6392.5126953125"
"55","-5939.7380859375","-5941.6064453125","-5934.962890625","-6116.374609375","-6128.94921875","-6108.66015625","-6400.082421875","-6409.078125","-6392.185546875"
