"Step","compare_k-4 - Log ZCSMC","compare_k-4 - Log ZCSMC__MIN","compare_k-4 - Log ZCSMC__MAX","compare_k-8 - Log ZCSMC","compare_k-8 - Log ZCSMC__MIN","compare_k-8 - Log ZCSMC__MAX","compare_k-16 - Log ZCSMC","compare_k-16 - Log ZCSMC__MIN","compare_k-16 - Log ZCSMC__MAX"
"0","-7080.8955078125","-7080.8955078125","-7080.8955078125","-7214.4765625","-7214.4765625","-7214.4765625","-7143.970703125","-7143.970703125","-7143.970703125"
"1","-6956.798828125","-6956.798828125","-6956.798828125","-7031.767578125","-7031.767578125","-7031.767578125","-6984.3984375","-6984.3984375","-6984.3984375"
"2","-6860.81640625","-6860.81640625","-6860.81640625","-6906.021484375","-6906.021484375","-6906.021484375","-6856.8251953125","-6856.8251953125","-6856.8251953125"
"3","-6781.9931640625","-6781.9931640625","-6781.9931640625","-6804.1484375","-6804.1484375","-6804.1484375","-6742.2373046875","-6742.2373046875","-6742.2373046875"
"4","-6715.3681640625","-6715.3681640625","-6715.3681640625","-6716.6123046875","-6716.6123046875","-6716.6123046875","-6637.3583984375","-6637.3583984375","-6637.3583984375"
"5","-6657.0791015625","-6657.0791015625","-6657.0791015625","-6638.744140625","-6638.744140625","-6638.744140625","-6543.416015625","-6543.416015625","-6543.416015625"
"6","-6605.1279296875","-6605.1279296875","-6605.1279296875","-6567.2763671875","-6567.2763671875","-6567.2763671875","-6459.9853515625","-6459.9853515625","-6459.9853515625"
"7","-6558.509765625","-6558.509765625","-6558.509765625","-6500.6767578125","-6500.6767578125","-6500.6767578125","-6387.5390625","-6387.5390625","-6387.5390625"
"8","-6490.3349609375","-6490.3349609375","-6490.3349609375","-6437.255859375","-6437.255859375","-6437.255859375","-6328.2373046875","-6328.2373046875","-6328.2373046875"
"9","-6447.74609375","-6447.74609375","-6447.74609375","-6376.427734375","-6376.427734375","-6376.427734375","-6281.9912109375","-6281.9912109375","-6281.9912109375"
"10","-6406.408203125","-6406.408203125","-6406.408203125","-6317.916015625","-6317.916015625","-6317.916015625","-6246.423828125","-6246.423828125","-6246.423828125"
"11","-6366.2421875","-6366.2421875","-6366.2421875","-6262.6220703125","-6262.6220703125","-6262.6220703125","-6215.8544921875","-6215.8544921875","-6215.8544921875"
"12","-6327.080078125","-6327.080078125","-6327.080078125","-6210.5380859375","-6210.5380859375","-6210.5380859375","-6186.4140625","-6186.4140625","-6186.4140625"
"13","-6288.8994140625","-6288.8994140625","-6288.8994140625","-6162.9462890625","-6162.9462890625","-6162.9462890625","-6156.783203125","-6156.783203125","-6156.783203125"
"14","-6252.306640625","-6252.306640625","-6252.306640625","-6122.619140625","-6122.619140625","-6122.619140625","-6128.1572265625","-6128.1572265625","-6128.1572265625"
"15","-6217.58203125","-6217.58203125","-6217.58203125","-6090.9853515625","-6090.9853515625","-6090.9853515625","-6102.125","-6102.125","-6102.125"
"16","-6184.9833984375","-6184.9833984375","-6184.9833984375","-6067.876953125","-6067.876953125","-6067.876953125","-6079.7353515625","-6079.7353515625","-6079.7353515625"
"17","-6155.5224609375","-6155.5224609375","-6155.5224609375","-6051.6484375","-6051.6484375","-6051.6484375","-6061.3154296875","-6061.3154296875","-6061.3154296875"
"18","-6129.447265625","-6129.447265625","-6129.447265625","-6039.4873046875","-6039.4873046875","-6039.4873046875","-6047.05078125","-6047.05078125","-6047.05078125"
"19","-6106.9765625","-6106.9765625","-6106.9765625","-6028.73046875","-6028.73046875","-6028.73046875","-6036.2490234375","-6036.2490234375","-6036.2490234375"
