"Step","Name: compare_q_matrix-stationary - Log ZCSMC","Name: compare_q_matrix-stationary - Log ZCSMC__MIN","Name: compare_q_matrix-stationary - Log ZCSMC__MAX"
"0","-7105.873372395833","-7360.9482421875","-6858.4208984375"
"1","-6975.272623697917","-7205.3447265625","-6770.9453125"
"2","-6874.415364583333","-7102.96875","-6706.291015625"
"3","-6796.877115885417","-7021.255859375","-6652.91015625"
"4","-6717.57080078125","-6852.6689453125","-6607.0673828125"
"5","-6666.586751302083","-6798.2568359375","-6567.158203125"
"6","-6623.689290364583","-6748.826171875","-6532.41796875"
"7","-6586.935546875","-6703.99609375","-6503.3623046875"
"8","-6555.063313802083","-6663.1484375","-6478.4052734375"
"9","-6526.420084635417","-6625.9423828125","-6455.990234375"
"10","-6500.774251302083","-6592.1337890625","-6435.6845703125"
"11","-6477.701334635417","-6561.1181640625","-6418.279296875"
"12","-6456.89208984375","-6533.0322265625","-6402.2568359375"
"13","-6438.056315104167","-6507.005859375","-6387.3701171875"
"14","-6420.799641927083","-6483.21875","-6373.080078125"
"15","-6404.915201822917","-6461.25390625","-6359.7041015625"
"16","-6390.126139322917","-6440.9375","-6346.9833984375"
"17","-6376.267252604167","-6422.2373046875","-6335.0615234375"
"18","-6363.312174479167","-6405.3212890625","-6323.990234375"
"19","-6351.108235677083","-6392.876953125","-6314.1455078125"
"20","-6339.668294270833","-6381.171875","-6304.80859375"
"21","-6328.741373697917","-6369.693359375","-6295.8642578125"
"22","-6318.234537760417","-6358.4423828125","-6287.130859375"
"23","-6308.303548177083","-6347.841796875","-6278.6787109375"
"24","-6298.817708333333","-6337.498046875","-6270.6328125"
"25","-6289.66162109375","-6327.740234375","-6262.51171875"
"26","-6280.9765625","-6318.396484375","-6254.89453125"
"27","-6272.544759114583","-6309.2880859375","-6247.513671875"
"28","-6264.365071614583","-6300.5244140625","-6240.3701171875"
"29","-6256.481282552083","-6291.9599609375","-6233.509765625"
"30","-6248.900716145833","-6283.732421875","-6226.986328125"
"31","-6241.5849609375","-6275.61328125","-6220.5810546875"
"32","-6234.437174479167","-6267.6142578125","-6214.3779296875"
"33","-6227.543619791667","-6259.7509765625","-6208.453125"
"34","-6220.806477864583","-6252.1669921875","-6202.5595703125"
"35","-6214.232584635417","-6244.751953125","-6196.955078125"
"36","-6207.802734375","-6237.5673828125","-6191.2978515625"
"37","-6201.545247395833","-6230.5625","-6185.857421875"
"38","-6195.438639322917","-6223.5263671875","-6180.693359375"
"39","-6189.537109375","-6216.80078125","-6174.9970703125"
"40","-6183.8642578125","-6210.2216796875","-6169.5869140625"
"41","-6178.283365885417","-6203.703125","-6164.3544921875"
"42","-6172.903483072917","-6197.34765625","-6159.4736328125"
"43","-6167.630696614583","-6191.1728515625","-6154.521484375"
"44","-6162.548665364583","-6185.033203125","-6149.927734375"
"45","-6157.50927734375","-6179.0283203125","-6145.4052734375"
"46","-6152.706705729167","-6173.26171875","-6141.24609375"
"47","-6147.973958333333","-6167.4111328125","-6137.126953125"
"48","-6143.392903645833","-6161.8193359375","-6133.2470703125"
"49","-6138.979817708333","-6156.3740234375","-6129.53515625"
"50","-6134.631673177083","-6151.14453125","-6125.8974609375"
"51","-6130.509440104167","-6146.1728515625","-6122.232421875"
"52","-6126.556315104167","-6141.72265625","-6118.78515625"
"53","-6122.6240234375","-6137.294921875","-6115.3193359375"
"54","-6118.932779947917","-6133.12890625","-6112.05078125"
"55","-6115.261067708333","-6128.94921875","-6108.66015625"
"56","-6111.757161458333","-6124.9326171875","-6105.537109375"
"57","-6108.31787109375","-6120.888671875","-6102.3857421875"
"58","-6104.946451822917","-6117.0927734375","-6099.2509765625"
"59","-6101.662109375","-6113.33984375","-6096.146484375"
"60","-6098.502115885417","-6109.609375","-6093.2060546875"
"61","-6095.461263020833","-6106.2119140625","-6090.41015625"
"62","-6092.407877604167","-6102.8388671875","-6087.4833984375"
"63","-6089.447916666667","-6099.4765625","-6084.7333984375"
"64","-6086.5673828125","-6096.41796875","-6082.0595703125"
"65","-6083.847005208333","-6093.4013671875","-6079.3896484375"
"66","-6081.076822916667","-6090.34765625","-6076.8076171875"
"67","-6078.428548177083","-6087.5244140625","-6074.1376953125"
"68","-6075.750162760417","-6084.5302734375","-6071.5234375"
"69","-6073.261555989583","-6081.82421875","-6069.0849609375"
"70","-6070.7255859375","-6078.990234375","-6066.4697265625"
"71","-6068.27099609375","-6076.3955078125","-6064.0986328125"
"72","-6065.900553385417","-6073.8583984375","-6061.705078125"
"73","-6063.547200520833","-6071.291015625","-6059.4150390625"
"74","-6061.258463541667","-6068.7451171875","-6057.0947265625"
"75","-6059.071451822917","-6066.44921875","-6055.025390625"
"76","-6056.853678385417","-6063.9130859375","-6052.896484375"
"77","-6054.760579427083","-6061.7744140625","-6050.755859375"
"78","-6052.659830729167","-6059.4345703125","-6048.71875"
"79","-6050.5830078125","-6057.234375","-6046.55859375"
"80","-6048.567708333333","-6055.0302734375","-6044.7421875"
"81","-6046.61669921875","-6053.00390625","-6042.6484375"
"82","-6044.7255859375","-6050.857421875","-6040.7939453125"
"83","-6042.824544270833","-6048.875","-6038.9677734375"
"84","-6040.995768229167","-6046.8076171875","-6037.1259765625"
