"Step","Name: DS1-phase1 - Log ZCSMC","Name: DS1-phase1 - Log ZCSMC__MIN","Name: DS1-phase1 - Log ZCSMC__MAX"
"0","-8348.360085227272","-8779.529296875","-8101.6171875"
"1","-8026.862748579545","-8369.630859375","-7682.40625"
"2","-7892.23046875","-8135.638671875","-7635.193359375"
"3","-7755.353338068182","-8084.44921875","-7562.08203125"
"4","-7710.664417613636","-7999.896484375","-7498.140625"
"5","-7695.723544034091","-7988.8203125","-7483.6640625"
"6","-7644.096946022727","-7995.744140625","-7404.296875"
"7","-7664.502485795455","-8024.4609375","-7522.021484375"
"8","-7578.786754261364","-7948.7578125","-7382.99609375"
"9","-7688.82421875","-8098.990234375","-7375.095703125"
"10","-7697.446022727273","-7914.765625","-7401.712890625"
"11","-7630.182528409091","-7792.326171875","-7484.802734375"
"12","-7671.823330965909","-7937.673828125","-7440.3828125"
"13","-7644.343572443182","-7871.3515625","-7398.5"
"14","-7621.209339488636","-7954.5859375","-7363.30078125"
"15","-7641.685724431818","-7907.994140625","-7429.5703125"
"16","-7589.602450284091","-7772.388671875","-7427.1328125"
"17","-7610.045454545455","-8059.337890625","-7461.11328125"
"18","-7600.950816761364","-7738.24609375","-7482.365234375"
"19","-7596.463600852273","-7844.21484375","-7400.564453125"
"20","-7633.320134943182","-7805.912109375","-7429.029296875"
"21","-7562.411221590909","-7889.876953125","-7406.94140625"
"22","-7540.522904829545","-7707.7734375","-7464.138671875"
"23","-7610.178977272727","-7843.810546875","-7409.22265625"
"24","-7564.756392045455","-7894.10546875","-7344.193359375"
"25","-7605.532670454545","-7785.017578125","-7411.939453125"
"26","-7558.063387784091","-7797.60546875","-7347.9765625"
"27","-7604.476029829545","-7900.685546875","-7429.46484375"
"28","-7514.982244318182","-7801.94921875","-7376.388671875"
"29","-7583.693536931818","-7806.6953125","-7407.880859375"
"30","-7540.221413352273","-7774.494140625","-7390.9765625"
"31","-7514.413884943182","-7622.23828125","-7380.986328125"
"32","-7546.498934659091","-7706.1484375","-7404.17578125"
"33","-7498.201171875","-7825.103515625","-7372.689453125"
"34","-7572.705255681818","-7884.587890625","-7209.8359375"
"35","-7540.291903409091","-7788.306640625","-7442.5703125"
"36","-7536.130504261364","-7723.15625","-7337.603515625"
"37","-7565.470170454545","-7733.642578125","-7339.45703125"
"38","-7541.051136363636","-7791.01171875","-7405.77734375"
"39","-7589.971768465909","-7706.908203125","-7442.73828125"
"40","-7540.189808238636","-7790.056640625","-7359.623046875"
"41","-7515.504438920455","-7718.2890625","-7353.1875"
"42","-7606.759232954545","-7885.310546875","-7363.216796875"
"43","-7647.710404829545","-7883.451171875","-7459.31640625"
"44","-7511.888849431818","-7734.97265625","-7310.453125"
"45","-7547.635120738636","-7865.83984375","-7333.759765625"
"46","-7526.512784090909","-7801.259765625","-7311.69140625"
"47","-7566.678089488636","-7837.3984375","-7428.8203125"
"48","-7622.999467329545","-8007.580078125","-7414.6015625"
"49","-7518.212890625","-7929.09375","-7347.34765625"
"50","-7563.8125","-7796.65625","-7389.630859375"
"51","-7501.200284090909","-7842.935546875","-7359.828125"
"52","-7525.930930397727","-7732.197265625","-7364.376953125"
"53","-7585.522194602273","-7844.642578125","-7397.94140625"
"54","-7558.658203125","-7921.0546875","-7365.01953125"
"55","-7526.849609375","-7821.935546875","-7386.94140625"
"56","-7588.815340909091","-8031.03125","-7350.447265625"
"57","-7531.994850852273","-7830.400390625","-7389.380859375"
"58","-7565.010298295455","-7823.537109375","-7307.544921875"
"59","-7551.521129261364","-7768.41015625","-7372.52734375"
"60","-7616.171342329545","-7940.458984375","-7376.462890625"
"61","-7598.22265625","-7943.87890625","-7329.94921875"
"62","-7497.240944602273","-7611.849609375","-7366.8515625"
"63","-7519.158913352273","-7758.72265625","-7384.814453125"
"64","-7611.705433238636","-7752.537109375","-7386.3046875"
"65","-7539.725674715909","-7846.3359375","-7344.564453125"
"66","-7548.461115056818","-7848.6796875","-7326.21484375"
"67","-7607.175248579545","-8014.255859375","-7385.7890625"
"68","-7507.283380681818","-7694.76171875","-7373.890625"
"69","-7571.407492897727","-7948.322265625","-7420.7109375"
"70","-7606.136008522727","-7895.19140625","-7402.482421875"
"71","-7595.982421875","-7861.390625","-7318.984375"
"72","-7570.067116477273","-8014.98828125","-7409.16015625"
"73","-7501.554865056818","-7802.767578125","-7371.197265625"
"74","-7512.570667613636","-7683.119140625","-7269.923828125"
"75","-7574.881569602273","-7854.740234375","-7393.39453125"
"76","-7626.334517045455","-7933.1171875","-7416.740234375"
"77","-7490.517755681818","-7691.4453125","-7246.919921875"
"78","-7604.861860795455","-7855.50390625","-7449.46875"
"79","-7467.344815340909","-7743.373046875","-7367.37109375"
"80","-7548.494495738636","-8007.431640625","-7396.01953125"
"81","-7546.717329545455","-7684.640625","-7396.431640625"
"82","-7559.953302556818","-7855.013671875","-7371.7734375"
"83","-7594.552379261364","-7853.130859375","-7247.0078125"
"84","-7579.034978693182","-7679.3359375","-7399.23046875"
"85","-7562.025745738636","-7869.01953125","-7402.283203125"
"86","-7569.803444602273","-7851.52734375","-7378.853515625"
"87","-7554.328302556818","-7787.30078125","-7363.890625"
"88","-7551.739346590909","-7712.93359375","-7419.484375"
"89","-7633.681107954545","-7977.14453125","-7376.1796875"
"90","-7505.986683238636","-7587.185546875","-7299.61328125"
"91","-7508.299005681818","-7845.3671875","-7286.85546875"
"92","-7570.521484375","-7868.216796875","-7363.109375"
"93","-7496.595880681818","-7620.3671875","-7272.466796875"
"94","-7557.428977272727","-7854.240234375","-7387.91796875"
"95","-7541.389204545455","-7818.517578125","-7358.318359375"
"96","-7488.463955965909","-7709.9140625","-7382.90625"
"97","-7553.048650568182","-7797.0703125","-7308.841796875"
"98","-7524.314098011364","-7946.6171875","-7233.76171875"
"99","-7563.75390625","-7806.11328125","-7288.666015625"
